client_id,fold,cloud,gym,insurance,mobile,music,software,streaming,none
C000001,2,0.025625562366309394,0.05898443136277775,0.03168394357255435,0.4398724750034291,0.023758615413926085,0.004904371216283374,0.3102169628964977,0.10495363816822223
C000007,1,0.9542443317036574,0.0016743209616894277,0.0003169355912634819,0.0014431985410172457,0.0016771093217874426,0.003336876152786599,0.0019063213669205752,0.03540090636087802
C000012,3,0.0013481165248643674,0.006070003431537568,0.002913284651753337,0.002676752929126393,0.0023549188045697135,0.8761690335376697,0.0026108317481180433,0.10585705837236097
C000015,3,0.0031386256931952,0.007723388760671792,0.697645491446158,0.008262415679473722,0.009104580978864199,0.00944698218938986,0.006496880326722235,0.25818163492552515
C000016,2,0.008442535751552611,0.1844666916849151,0.2235822830051136,0.015248790252035321,0.036471216542938126,0.012034286595572296,0.01876880757052345,0.5009853885973495
C000022,0,0.006892650208913294,0.03346465562469129,0.006354000486289122,0.00500478271629657,0.02735768794637588,0.6994978333611948,0.15363711779658004,0.0677912718596591
C000025,3,0.8019259399359012,0.006780336814815057,0.004305883153280671,0.010181178503641513,0.0042180309662532296,0.009685449923508744,0.009552956100321305,0.15335022460227815
C000026,1,0.0030805905852824083,0.5574131204703082,0.240716651590773,0.12204550052214441,0.007214956076430477,0.052428890104555946,0.003470405514374282,0.01362988513613124
C000027,4,0.005722594080885152,0.1063205487950771,0.0035345557326818973,0.111890720692803,0.6335826935673322,0.07466191746994538,0.009362727936712103,0.05492424172456306
C000028,4,0.20855780032643279,0.15180175700400408,0.00377047398080297,0.002925119430513008,0.017616331407307374,0.5406636391766858,0.027217471009372014,0.04744740766488189
C000029,4,0.08048750740036847,0.022719253002234045,0.006290182736478171,0.05279402261814882,0.2510939529449729,0.06634201686398096,0.10236882724685592,0.41790423718696074
C000033,4,0.02433416320432512,0.01696901000920043,0.00533364863731465,0.00457024601651594,0.024029351520362535,0.006981279131582885,0.47996372353782746,0.43781857794287093
C000035,2,0.008627041691956855,0.058000932827636555,0.014716273803789145,0.05070484709477696,0.0316617275810078,0.017506996597344567,0.013310622091443174,0.8054715583120452
C000039,0,0.009313060709825832,0.01942585537953895,0.03032162571138827,0.025750823452747686,0.08273624214058536,0.028496749074370047,0.02835922173583655,0.7755964217957073
C000040,4,0.8702546670282112,0.0833200269311674,0.007777207291325486,0.0031003336557345602,0.004690943265246567,0.010655739138521358,0.0037197184292021217,0.016481364260591304
C000041,3,0.0010587496243492942,0.003625845071227905,0.9485256465077727,0.0029792972954160632,0.03403016684967877,0.0020128810543922726,0.002398042910236996,0.005369370686925991
C000044,0,0.004058347310052854,0.0069129596525187255,0.009403626758756826,0.007490973306409913,0.03878375523771992,0.013427898307044071,0.01835703084443954,0.9015654085830581
C000047,0,0.0038557961604121327,0.6172046286333709,0.006785777653255691,0.005730196075372236,0.32216266078921596,0.016827601401316648,0.01317023405666177,0.0142631052303947
C000053,3,0.026949839031497676,0.5422357143156263,0.019463311320154757,0.014222251953649201,0.025402157563381118,0.03571844080713561,0.025176427507079633,0.31083185750147574
C000055,3,0.003994859158960912,0.011444514692708236,0.007971732652879768,0.006543272331353198,0.011153053483722608,0.25777604675311444,0.009333980728101089,0.6917825401991596
C000060,0,0.0028483110621534166,0.005998605590096244,0.8683648955341919,0.012471336300755939,0.02141713800698808,0.006001932496766734,0.00693926940076502,0.0759585116082824
C000062,4,0.12027578457797387,0.01703396849649373,0.00878781996767239,0.07823855748244997,0.015096188166770518,0.18449920901575,0.00991128891993013,0.5661571833729593
C000063,0,0.00425202589733805,0.0061513097643585025,0.6937108782431365,0.012847209467686119,0.026063977161876722,0.007563635448728449,0.008724591449540122,0.24068637256733563
C000064,1,0.005686539213173962,0.02152267621400846,0.05635296326079222,0.05397345276693472,0.032772043612072456,0.20541282461842716,0.01136489164265357,0.6129146086719374
