client_id,cloud,gym,insurance,mobile,music,software,streaming,none
C000005,0.014127495234575507,0.10119108565006503,0.005808798615985153,0.7401701317716456,0.008699566720374051,0.01113410840772392,0.005337277685168345,0.11353153591446247
C000009,0.026730061315237173,0.027037759541388574,0.004611131778554052,0.003898751827682057,0.020647150600005805,0.24036836327623531,0.6439680908744265,0.032738690786470466
C000014,0.3830384205294783,0.02840035655833948,0.009512693289757623,0.010178823559752546,0.014827825423107115,0.48113337502310427,0.016490942872187053,0.05641756274427363
C000017,0.08171871469971739,0.015198808893159008,0.0057866785650860855,0.7438684857761725,0.009682971175813309,0.005949055389511401,0.07968229243769251,0.058112993062847965
C000021,0.014725354290146968,0.03284965291772083,0.02348991584778618,0.22111105057120822,0.03914983148663704,0.16559305460491222,0.053216022084280126,0.44986511819730846
C000024,0.005402366207731128,0.7408295643063831,0.00816407654034433,0.006867746987707566,0.108529289474503,0.07367519589525219,0.013583698439506553,0.042948062148571955
C000030,0.05850638712994218,0.005099604497969767,0.016604157603499356,0.004663225936046978,0.013083127091344354,0.0060928015920246725,0.005725516123282693,0.89022518002589
C000038,0.009954021435285705,0.0505930139636703,0.014862060194762916,0.018267390429359424,0.13338746302519078,0.5727018833400939,0.12813195690804083,0.07210221070359618
C000043,0.0006335983325482588,0.00206767796057535,0.006161278327099074,0.0012522120670310929,0.0072846549556947315,0.020830971823827097,0.002808555440515751,0.9589610510927085
C000066,0.012911881915229937,0.012957608162716728,0.01198211195936522,0.011261421973822981,0.03251901013353133,0.033259602668454936,0.022154458101668013,0.8629539050852109
C000109,0.4915403774707453,0.02309998890958219,0.007162834240606627,0.007581752387698779,0.011173310166458023,0.41330007139123226,0.012788638746977964,0.033353026686698796
C000116,0.12391994340919997,0.0069872229129150235,0.8050262623015525,0.0037922914888280767,0.0073516361980433724,0.0026685629803656144,0.023091532568742242,0.027162548140353338
C000129,0.21912048220843472,0.024261887186514817,0.005558942683339791,0.006243868293092894,0.01164300916414284,0.6517990905799159,0.033322351308892294,0.048050368575666726
C000132,0.007111510653628383,0.02160602642239484,0.004574895756838985,0.3686700794217504,0.23510027302813136,0.1988622202034199,0.008408131755917326,0.1556668627579188
C000162,0.01089032905471356,0.02270345444478119,0.1285757659786552,0.008262696323593466,0.03235276524086166,0.19302268588383603,0.139707521028894,0.4644847820446649
C000173,0.0813175692643057,0.007289673828211057,0.06992427252989818,0.7825042043660606,0.00535682862307369,0.005363678078965408,0.0033311789460060445,0.04491259436347926
C000177,0.1179594358614971,0.008393937866602122,0.1371974720837671,0.46512231397175136,0.011368187001371606,0.003725136062023459,0.05673186740193324,0.1995016497510539
C000185,0.320734198923406,0.6120836911439064,0.006961768737223725,0.005032517086586424,0.009290682199075818,0.013913711127196266,0.01020776484718612,0.021775665935419266
C000205,0.08955907806524138,0.008670104899876987,0.005887914200436794,0.015647234947953982,0.009733655411981483,0.0401696066187149,0.0072353461387635425,0.8230970597170308
