client_id,cloud,gym,insurance,mobile,music,software,streaming,none
C000013,0.0162318743575,0.0156458213287,0.0412378657899,0.0308576586778,0.0199105446855,0.560944205439,0.0740533131382,0.241118716584
C000032,0.00647687929671,0.589844788569,0.362115506086,0.00490417317944,0.0112036012432,0.00441895661611,0.00587070679811,0.0151653882111
C000046,0.0129104549414,0.0247517180751,0.0247891027619,0.469171126073,0.0147431609619,0.0205217193293,0.0334659067664,0.399646811091
C000049,0.0179909609,0.0216869542043,0.0262402894838,0.609646330827,0.1040615901,0.0192502422878,0.0302957583038,0.170827873893
C000138,0.00640887919663,0.00453618337813,0.693172864926,0.00442436392531,0.025457490447,0.00313046451661,0.00644625931192,0.256423494298
C000145,0.0592608968945,0.00960249234232,0.357934030617,0.0158062899626,0.0162057712721,0.414294942146,0.0498746446118,0.0770209321535
C000151,0.00945096032189,0.641352203864,0.0152502489658,0.0147715320395,0.0317247099968,0.0835161383452,0.167212189711,0.0367220167557
C000199,0.0615402916363,0.0137574176909,0.0137877978769,0.248842843435,0.401742276151,0.01354119574,0.0168498919832,0.229938285487
C000256,0.013273669548,0.920289183242,0.00571327110498,0.00686590310935,0.00516268314447,0.00506703159735,0.00881943705559,0.0348088211982
C000269,0.200185781344,0.00797127589215,0.00798887867559,0.00777477949105,0.216330157105,0.311682767501,0.0182232687688,0.229843091223
C000301,0.00485877789402,0.00349226818245,0.0049701257064,0.0714996525645,0.00758404071397,0.0182279114567,0.0099705677306,0.879396655751
C000329,0.349322124946,0.00530589618691,0.570170913574,0.00813629798368,0.00664507194018,0.00528302159753,0.00278035516254,0.0523563186096
C000357,0.0118051394915,0.0146234204143,0.0224923832481,0.280581224126,0.0324489686302,0.00862868383997,0.368242674111,0.261177506139
C000362,0.0289381883137,0.0264532580042,0.316222183493,0.0281374623098,0.203212117787,0.0592143097988,0.0353929978725,0.302429482421
C000370,0.524920166084,0.0105897711892,0.0106057658477,0.0103299341537,0.055934424295,0.205372283559,0.137045207959,0.0452024469131
C000377,0.109360601088,0.0353945084544,0.283347060237,0.0343352291781,0.198586891378,0.034760280312,0.0427050677976,0.261510361554
C000409,0.0110019538214,0.0071805653113,0.0158293363206,0.0142000025103,0.046585139433,0.807857601229,0.0286471039928,0.0686982973817
C000451,0.0587689569793,0.141576116889,0.0501534487451,0.0424166511043,0.252380688444,0.0517927052449,0.0696316488539,0.33327978374
C000466,0.0215473001596,0.0244205487048,0.0146971318921,0.0215227601414,0.0352562701548,0.0817409676668,0.671301137489,0.129513883791
C000479,0.801557492077,0.0119840413185,0.0141909818898,0.0317486732709,0.0652778473542,0.0088327050882,0.0185680777918,0.0478401812098
C000483,0.0679033142687,0.446778281088,0.190939196813,0.0296598310034,0.0144938448004,0.0165966027622,0.0370045212619,0.196624408002
C000486,0.0346589423959,0.0309020927329,0.0348418037976,0.0263428874963,0.155771185789,0.0339269792603,0.0552208036373,0.628335304891
C000487,0.730150076359,0.0972536381989,0.0189177633425,0.0127676987974,0.0260219697239,0.00948357211791,0.022836254604,0.0825690268561
